56628,8,47,40,9,1,1,25,326,960,0,46,22,6,9,48,286,1,21,7,14,4,271,30,0,4,13,2,17,14,40,91,0,22,15,1,17,0,60,1,362,226,3,0,44,6,7,1,0
12,114556,20,1917,189,6,1,28,98,56,24,124,35,26,79,17,33,3,20,32,45,53,9,66,10,24,545,5,41,370,112,46,5,45,87,44,39,3,7,5,45,519,95,2,23,85,11,31,3
42,14,22701,71,27,2,0,7,38,79,1,71,22,7,28,30,86,0,13,2,12,8,77,103,0,5,9,0,12,16,24,48,1,17,130,4,22,1,13,1,207,436,0,1,20,4,5,5,1
47,1965,78,895073,476,41,10,169,530,296,46,538,110,35,420,56,154,5,134,206,137,94,37,208,9,52,2613,14,289,632,875,141,7,187,212,579,215,10,43,7,154,1468,372,7,137,618,21,50,28
12,165,20,468,69872,8,0,26,124,43,33,153,41,57,133,17,42,1,21,19,33,51,11,85,14,99,162,2,29,102,101,35,10,42,69,47,36,3,7,14,42,344,182,2,25,56,7,21,104
2,11,1,35,9,39118,9,30,49,12,0,15,5,4,9,5,6,13,48,768,8,3,1,13,2,2,10,48,226,4,1246,37,0,26,6,3,106,177,9,1,11,16,3,24,30,6,6,1,2
1,0,0,10,0,9,6438,59,11,9,0,2,0,0,0,3,6,1,280,11,4,0,0,0,0,2,1,2,148,1,95,15,0,4,1,0,309,1,2,0,5,8,0,0,58,0,2,0,0
23,20,12,140,25,24,80,47697,113,66,4,68,23,18,24,37,27,3,5254,69,31,14,17,32,2,4,21,24,159,16,325,140,4,88,24,11,230,4,38,2,45,107,10,3,3408,13,64,7,4
359,126,34,639,99,64,18,113,311478,1147,6,282,131,24,54,84,248,12,139,150,132,84,96,109,2,18,135,20,260,46,642,531,0,225,50,27,234,20,257,9,241,669,35,8,235,56,36,45,1
992,53,45,292,49,12,7,79,1238,154738,5,203,106,17,10,137,208,3,103,53,74,25,175,56,4,17,73,4,86,40,245,551,0,137,48,15,97,9,764,2,719,358,12,2,251,26,20,29,5
0,14,1,58,31,0,0,2,5,2,12057,9,2,4,3,1,0,0,0,4,1,2,0,2,29,6,41,1,2,4,6,1,0,3,4,82,2,0,1,7,2,31,87,0,2,225,0,0,23
32,129,68,509,173,27,3,65,260,193,10,187976,1322,510,150,177,71,5,82,65,428,139,31,991,6,86,98,5,90,47,335,74,9,406,51,28,144,9,27,15,202,331,30,3,68,61,28,729,15
20,30,26,111,30,11,2,35,117,113,1,1326,81324,50,50,679,19,2,37,21,267,25,10,101,0,24,36,2,45,13,120,49,2,598,21,8,104,2,20,3,146,89,10,2,39,12,20,73,3
6,18,11,52,58,1,0,34,29,10,4,565,53,31843,48,18,3,0,8,5,36,150,6,126,2,330,11,16,7,6,28,18,4,51,18,6,15,0,5,62,18,42,21,0,15,15,4,70,5
6,74,20,382,136,4,0,21,29,21,3,145,29,37,31102,14,11,1,15,33,40,18,9,1691,5,71,97,0,57,36,136,11,2,61,219,9,31,2,6,6,30,130,16,1,8,13,4,19,2
47,18,31,51,20,4,3,36,97,119,2,177,700,14,16,40231,26,0,39,13,73,13,18,64,1,9,13,1,26,8,57,86,0,1048,19,2,49,1,18,2,520,108,1,0,71,5,76,20,0
277,28,99,167,38,5,2,25,220,218,4,81,15,1,8,24,110320,0,18,24,29,8,574,23,1,1,21,1,27,32,112,77,0,26,33,9,31,2,23,0,116,1600,10,0,58,12,6,5,2
1,1,0,4,1,19,0,4,8,1,0,3,0,0,0,0,0,6828,1,135,1,1,0,2,0,2,0,91,10,1,32,1,0,5,0,1,9,8,2,1,2,2,1,9,4,0,1,2,1
18,32,10,113,18,36,263,4847,136,97,0,45,35,5,12,30,26,5,95469,63,22,10,9,31,1,4,25,8,303,11,398,193,0,87,19,1,754,9,44,5,57,90,5,2,1861,11,148,11,2
13,28,4,203,28,797,10,59,162,55,3,69,26,9,20,9,18,144,54,99814,36,13,6,32,6,7,29,819,147,8,653,64,0,52,9,5,168,998,15,8,30,78,14,79,66,30,12,6,2
13,35,9,127,30,7,1,38,131,51,5,405,293,24,42,64,29,2,24,40,102828,47,5,43,5,12,34,4,35,10,127,45,2,574,12,7,119,1,21,5,55,69,11,5,22,16,14,94,3
4,37,7,81,43,4,0,17,61,26,0,129,26,137,15,15,6,1,6,10,39,52350,1,34,8,35,28,2,16,5,35,14,256,23,6,10,16,0,1,56,20,70,14,2,6,20,3,384,7
292,5,68,32,9,3,0,18,102,180,1,21,9,3,3,20,560,0,8,3,14,2,28431,23,0,5,12,0,4,12,20,49,0,13,17,0,8,1,19,1,608,306,3,0,23,3,1,5,0
29,81,113,173,90,8,0,28,87,44,0,972,111,163,1656,56,18,0,34,27,45,39,27,60733,2,61,66,1,23,28,92,31,2,115,146,10,50,2,15,11,133,193,16,0,32,11,14,29,2
0,8,1,20,11,0,1,4,2,1,29,7,1,2,0,0,1,0,1,6,2,20,0,0,4910,3,8,0,5,0,12,0,8,5,2,19,2,0,2,7,0,10,23,0,3,53,0,1,15
2,23,5,56,117,1,1,10,16,7,2,68,16,327,66,5,1,1,3,5,14,48,5,81,2,22338,25,0,8,6,22,9,7,13,19,8,13,2,2,43,11,28,26,0,8,13,0,18,18
20,555,16,2687,163,9,0,27,136,58,28,104,45,14,101,13,46,0,27,27,49,33,8,76,8,14,82168,2,45,149,141,59,2,74,36,143,47,2,12,4,45,378,290,2,36,142,5,20,11
2,1,1,8,2,55,0,20,11,2,1,6,2,1,1,3,0,91,11,846,5,0,0,1,0,2,6,10414,31,0,75,4,0,6,1,1,26,21,3,0,7,2,1,67,5,2,0,0,0
11,43,10,288,37,230,147,173,243,88,4,98,35,5,42,20,33,10,296,165,33,17,7,22,3,7,46,13,118095,17,8103,152,2,108,11,13,2647,26,25,5,59,133,16,17,216,22,29,14,2
18,348,16,600,99,1,0,17,59,38,0,51,12,2,34,13,36,1,9,7,9,6,11,35,3,3,135,0,18,21412,53,17,0,24,50,11,23,0,7,3,25,751,24,1,14,12,0,4,2
37,98,29,889,103,1228,102,288,600,216,3,325,126,19,131,72,85,25,418,652,128,41,28,99,9,18,147,75,8487,49,359624,322,2,339,47,29,1361,94,66,16,144,315,41,89,421,71,73,38,7
105,45,27,130,38,40,19,164,503,592,0,79,53,13,15,91,74,10,189,51,41,6,40,39,2,7,42,4,144,16,307,135858,1,119,35,15,133,8,1388,3,309,159,12,2,809,27,67,12,4
0,6,0,5,11,1,0,2,2,1,1,4,1,3,2,0,0,0,2,4,1,268,0,5,14,2,5,0,1,2,2,1,5387,0,2,1,1,0,0,34,0,6,2,0,2,5,0,4,1
19,58,21,182,50,20,1,71,174,125,4,407,524,39,38,1018,27,4,100,46,603,22,11,97,2,21,55,4,110,13,348,103,1,168794,22,10,642,2,54,5,172,109,10,2,121,16,335,33,3
22,82,135,178,67,7,1,29,42,48,0,59,33,17,197,19,30,0,22,9,10,10,21,132,1,16,42,0,13,60,50,39,1,19,47099,7,18,0,14,3,59,789,15,2,30,7,3,4,4
0,44,3,584,50,1,0,14,22,16,87,26,4,9,6,6,5,0,1,5,6,6,4,8,19,7,119,1,8,8,27,2,1,11,6,55711,8,1,1,17,11,49,50,2,11,1329,0,6,39
15,42,9,197,21,110,307,234,215,68,3,167,98,15,39,62,24,8,773,163,108,12,14,44,4,6,35,16,2625,17,1432,131,0,599,18,10,141699,21,48,5,55,96,14,6,320,21,234,21,1
2,1,0,13,4,202,0,6,22,5,0,11,3,0,1,0,1,3,11,953,0,0,1,2,0,1,3,23,30,0,80,5,0,6,1,0,24,13969,1,0,5,7,0,4,18,1,1,1,0
52,5,11,31,6,4,10,43,258,719,2,18,18,4,2,29,18,2,65,21,26,4,27,11,0,2,9,0,33,9,72,1378,0,69,13,1,52,1,42722,0,80,59,2,1,138,7,18,4,1
2,11,4,9,13,1,0,6,2,2,5,23,10,63,9,0,1,1,3,6,4,69,0,13,6,48,5,0,6,3,11,3,30,7,4,8,7,0,1,5477,1,5,2,2,7,45,0,11,10
356,42,261,153,32,22,3,41,285,725,4,225,152,16,38,561,106,1,50,48,63,30,613,124,2,8,46,3,49,24,129,320,1,176,61,9,73,2,77,1,101477,397,8,2,152,13,53,26,3
208,472,446,1355,356,21,6,109,643,370,23,304,101,48,119,101,1504,2,84,72,86,63,301,230,5,21,347,8,122,712,302,152,4,111,795,47,107,5,70,10,357,675609,90,5,162,107,50,34,12
3,92,3,348,177,1,0,7,34,17,105,40,11,11,19,5,10,0,8,13,17,14,0,19,8,31,259,1,11,36,41,12,1,11,17,50,12,0,3,1,9,85,33786,1,11,45,1,5,41
0,4,0,8,1,25,1,4,8,0,0,2,1,0,2,2,0,5,2,77,2,0,0,1,0,1,0,65,15,0,87,0,0,1,1,1,7,2,0,0,1,2,0,3690,3,2,0,1,0
40,32,20,133,34,22,64,3088,234,253,4,58,42,12,22,65,63,4,1790,73,37,9,29,40,1,3,32,5,206,16,377,874,2,128,20,9,298,15,142,4,139,156,7,5,104801,15,152,9,1
3,82,5,600,62,2,0,18,46,22,212,45,8,8,11,4,13,2,9,32,22,19,1,19,68,13,149,1,15,14,76,29,2,22,6,1345,23,1,6,41,9,113,40,4,13,98868,3,13,33
1,7,2,27,3,8,3,72,30,25,0,27,21,3,3,91,5,1,159,21,22,0,5,15,1,5,3,2,27,4,73,57,0,360,7,0,230,0,13,1,62,44,0,0,158,6,13650,0,0
5,21,9,48,23,1,0,4,37,25,0,779,73,57,24,11,8,1,10,12,91,385,5,33,2,12,10,2,12,7,28,9,9,34,7,6,19,2,4,12,16,29,7,0,10,15,1,41709,1
0,5,1,24,94,1,0,6,2,2,23,16,6,4,3,1,2,0,5,3,2,8,1,5,16,19,14,0,4,2,10,4,1,5,4,30,4,0,0,14,5,10,46,1,2,26,0,0,3025
