0,146,92,15,96,135,420,173,6,7,748,20,46,159,155,59,30,667,58,66,59,111,56,53,1131,268,295,483,47,374,17,24,812,29,116,267,34,633,43,740,16,7,266,1211,33,113,320,100,1259
146,0,184,1,24,163,586,238,24,44,223,22,70,145,96,155,90,733,84,66,54,76,219,66,357,161,19,496,56,64,20,58,512,39,78,68,41,749,153,461,75,6,35,1343,65,29,511,77,405
80,184,0,21,122,255,828,395,30,39,1104,21,67,202,159,108,57,1216,114,124,91,149,82,42,1595,337,364,885,94,442,33,64,1171,49,71,402,67,1195,156,987,32,8,365,2206,82,172,598,146,1696
15,1,21,0,2,14,64,23,2,4,17,2,7,16,9,14,9,87,7,6,5,7,27,6,41,19,1,64,4,9,1,5,61,4,9,3,3,86,15,49,7,0,3,161,6,2,54,8,48
94,25,124,2,0,116,431,177,17,33,160,12,41,59,35,101,62,530,60,51,32,35,153,31,268,48,48,398,38,54,13,40,293,28,47,62,33,560,102,188,46,4,25,995,46,29,336,49,134
130,156,255,16,121,0,116,73,23,40,688,29,66,167,210,105,139,128,19,2,38,87,297,83,1035,295,312,55,5,488,1,31,670,23,198,234,6,27,96,710,67,23,275,178,22,100,169,80,1180
420,586,795,64,431,107,0,83,79,112,2535,102,199,583,752,330,457,1015,18,72,163,333,960,316,3810,1036,1129,612,14,1718,13,70,2477,75,672,903,12,629,264,2437,205,76,1035,1530,38,389,463,291,4457
173,255,344,22,177,76,73,0,32,43,1275,33,79,283,311,129,201,559,1,38,74,153,441,115,1916,488,548,346,13,789,7,21,1189,22,303,455,9,416,108,1253,81,26,517,857,7,189,139,142,2224
6,25,30,2,17,22,86,32,0,1,172,4,10,43,37,18,9,139,9,10,12,23,25,14,261,67,48,101,6,72,2,4,195,5,27,50,5,130,7,172,7,1,62,276,6,22,69,22,299
6,44,39,4,32,36,112,44,1,0,298,6,14,64,58,19,17,237,13,17,16,40,35,23,417,104,98,157,10,123,3,4,318,6,43,95,8,209,4,287,6,3,99,410,6,38,78,35,490
719,248,1104,18,175,688,2535,1275,179,286,0,135,381,530,636,700,588,3016,433,313,231,275,1319,382,195,705,298,2215,296,1004,100,307,1615,226,597,93,227,3162,751,1568,417,66,204,5544,331,41,2235,337,880
19,24,20,2,12,29,102,35,4,5,135,0,2,8,16,8,16,145,11,12,4,10,31,2,201,28,44,100,8,78,2,7,126,3,20,50,5,142,21,88,5,2,48,255,8,19,53,5,199
45,76,67,7,45,58,199,81,11,14,381,2,0,41,61,7,50,321,23,27,11,35,107,15,569,106,144,234,21,211,6,16,360,4,63,145,11,305,42,280,9,7,153,576,17,61,105,23,646
165,134,210,15,55,167,583,283,43,62,567,8,46,0,69,102,146,735,92,76,32,30,273,30,802,48,259,555,58,371,20,62,413,33,127,198,47,788,155,175,70,16,194,1371,71,88,453,30,807
151,101,151,9,36,190,752,304,39,60,589,16,60,70,0,129,125,1032,95,95,50,76,247,21,904,70,190,730,59,243,20,74,626,40,55,244,45,1020,182,370,72,10,196,1814,88,99,553,78,889
65,141,113,15,92,114,344,124,17,19,729,7,6,114,153,0,93,605,41,53,34,86,148,32,1048,227,283,408,34,420,11,23,686,7,134,232,24,545,57,559,10,13,260,1008,24,116,130,65,1201
30,93,58,9,71,145,476,206,9,17,567,16,54,146,129,83,0,713,57,70,59,92,27,51,928,232,203,504,54,223,19,35,712,35,66,209,35,675,75,603,30,2,215,1264,39,93,342,99,1014
667,733,1216,77,552,126,1015,582,139,227,3016,151,346,794,991,561,713,0,171,36,199,389,1474,469,4535,1370,1501,183,78,2245,22,192,2957,152,945,1066,72,631,526,3243,377,103,1287,837,178,454,1270,360,5271
58,89,129,7,69,20,18,1,11,13,433,12,24,95,108,42,59,189,0,11,21,51,157,42,624,159,172,112,3,268,2,6,418,6,103,148,2,130,31,393,23,9,168,287,2,62,36,46,755
66,74,124,6,54,2,65,40,9,17,338,12,30,78,93,55,70,37,11,0,19,43,150,42,488,137,159,14,4,232,0,13,332,11,92,107,3,5,45,355,31,8,131,66,11,51,105,39,608
59,55,83,4,34,38,163,70,12,17,247,4,11,34,56,36,56,207,21,19,0,16,127,22,380,76,101,141,14,186,4,17,182,5,66,83,8,211,49,180,21,6,101,342,16,33,115,7,414
111,76,149,7,37,87,333,159,21,37,255,10,38,30,72,76,96,405,48,41,17,0,194,40,337,65,119,289,34,227,12,38,52,21,100,97,27,406,103,111,45,10,106,712,41,43,268,11,386
56,248,81,29,167,297,922,441,24,35,1319,33,95,284,240,154,27,1474,151,150,127,194,0,85,1992,464,523,1034,109,545,40,81,1461,67,132,474,84,1385,168,1221,33,9,452,2587,97,203,742,195,2157
54,61,40,6,31,88,316,128,14,21,397,2,14,29,21,35,49,469,42,36,22,37,85,0,591,55,133,326,29,159,10,27,367,14,35,142,19,449,64,233,15,5,121,807,28,66,202,33,520
1086,323,1661,38,254,1035,3810,1839,272,432,204,206,593,831,904,1091,928,4535,650,471,380,329,1913,591,0,1061,610,3326,428,1542,146,482,1710,352,900,283,341,4756,1050,2000,601,97,410,8320,498,92,3351,513,1111
279,174,325,19,51,283,995,471,69,104,685,26,106,49,76,236,232,1370,172,129,73,63,445,58,1099,0,344,972,117,464,40,116,571,74,171,279,76,1321,280,195,124,25,247,2410,116,130,835,85,890
287,18,446,1,48,312,1170,586,46,90,303,45,142,266,184,277,187,1501,159,140,103,123,523,126,591,354,0,1099,101,182,36,110,988,76,171,92,82,1545,306,913,141,14,48,2756,127,42,989,172,702
483,535,885,59,382,58,612,360,95,157,2215,103,234,555,676,408,504,188,105,14,141,289,1034,326,3326,933,1099,0,51,1557,10,115,2131,98,671,755,41,287,374,2311,258,79,937,171,102,336,811,260,3987
