0,129,80,12,82,130,420,158,5,6,748,16,35,140,139,51,25,694,51,63,65,107,46,46,1131,268,252,483,42,300,15,19,812,23,101,256,30,633,36,740,14,6,278,1211,28,97,279,91,1167
126,0,147,0,21,146,586,225,22,39,211,19,62,118,86,129,76,703,78,62,47,66,214,51,357,152,16,535,49,54,16,54,491,38,66,56,37,749,139,445,71,5,29,1290,59,25,459,73,405
71,163,0,17,107,222,828,314,25,35,1060,17,56,175,138,98,50,1266,114,113,83,154,66,34,1661,306,364,885,88,365,31,57,1171,47,62,372,62,1195,137,987,26,7,394,2206,69,161,578,130,1586
12,0,18,0,2,14,55,19,1,3,16,2,6,12,7,12,7,79,7,5,4,5,22,5,30,15,1,55,3,8,1,4,61,3,7,3,3,73,12,49,5,0,3,136,5,1,48,8,37
89,22,100,2,0,108,413,186,15,29,128,10,36,46,30,84,52,552,51,45,28,33,153,28,238,45,39,382,36,48,12,33,274,23,39,56,27,519,102,161,38,3,22,995,41,26,295,46,117
130,156,222,13,108,0,110,69,21,34,688,23,59,161,181,99,139,126,17,2,36,90,297,74,1035,295,312,49,4,469,1,25,670,18,190,226,5,23,81,681,58,16,275,178,16,97,176,74,1229
420,562,828,54,413,113,0,66,73,110,2434,98,199,583,697,330,476,940,16,67,156,320,922,303,3810,1036,1170,612,12,1718,11,60,2477,61,672,903,11,607,264,2279,205,67,1035,1530,32,361,415,291,4457
161,233,354,19,164,69,66,0,31,36,1224,32,71,230,298,104,191,540,1,32,62,148,460,98,1916,432,532,346,12,817,6,17,1238,19,247,422,7,345,86,1124,72,23,451,857,6,171,124,121,2136
5,22,25,1,16,21,83,27,0,1,156,3,9,37,29,14,8,135,8,8,9,21,20,12,261,65,40,95,5,68,2,3,173,4,22,50,4,117,6,172,5,1,51,247,5,18,61,19,279
6,37,34,3,28,33,105,37,1,0,276,5,11,54,50,15,15,237,10,14,13,34,29,16,432,98,85,146,9,117,3,3,306,5,37,80,6,182,3,287,5,2,96,410,5,31,71,28,473
748,188,1060,15,134,661,2434,1275,156,286,0,135,368,502,528,729,534,3016,433,338,231,275,1267,368,170,685,255,2215,275,901,97,307,1551,235,576,78,218,3162,751,1524,417,58,166,5544,318,36,2235,337,757
18,19,17,2,10,25,91,30,3,5,123,0,1,7,13,6,15,141,10,10,4,9,31,2,195,26,41,94,6,66,2,6,110,2,17,47,4,123,16,81,4,1,42,266,7,18,50,5,179
