0,123,80,13,94,135,420,150,5,6,748,16,42,144,165,57,27,643,48,60,55,95,47,46,1131,268,262,464,42,321,14,19,812,23,101,267,32,633,34,710,14,6,278,1057,28,105,260,94,1209
129,0,153,0,19,132,586,238,20,37,166,18,58,99,77,126,86,679,69,56,43,49,210,51,330,147,17,496,48,54,14,42,459,34,65,52,37,694,130,445,59,5,31,1343,53,23,434,63,417
77,157,0,18,109,245,828,366,28,37,1060,18,61,189,128,103,51,1216,114,124,87,140,66,37,1661,298,446,885,81,412,30,51,1171,46,67,386,60,1195,134,948,27,7,378,2118,73,172,544,130,1696
13,0,18,0,2,13,63,19,1,3,16,1,6,14,7,13,8,75,6,4,4,5,23,5,38,17,1,53,3,8,1,4,53,3,7,3,3,81,13,54,5,0,3,111,4,1,44,7,44
91,20,109,2,0,112,431,161,15,29,136,11,38,52,33,81,56,552,55,48,29,29,146,29,248,47,42,398,35,50,11,37,260,24,41,57,27,538,113,195,40,3,23,922,39,25,348,43,124
130,138,245,13,103,0,104,66,19,39,688,24,61,155,190,99,126,154,18,2,39,87,297,77,1035,295,323,60,5,438,1,21,670,19,183,213,5,26,87,681,61,18,275,165,19,97,181,74,1180
420,586,828,63,431,107,0,67,78,110,2535,98,192,540,752,330,441,974,17,67,156,333,922,303,3810,1036,1170,612,12,1718,11,57,2477,70,645,903,11,629,285,2538,198,69,1035,1469,35,389,479,279,4457
146,225,344,19,152,62,65,0,26,37,1224,28,73,247,304,104,180,540,1,31,57,125,359,106,1916,488,477,306,10,707,5,18,1189,17,237,370,8,373,96,1124,65,21,464,801,6,154,116,118,2061
5,18,29,1,16,18,68,25,0,1,172,3,8,31,32,14,8,126,7,7,8,16,21,11,252,58,43,85,5,69,1,3,203,4,22,45,4,108,6,159,5,1,48,224,5,17,50,18,299
6,38,37,3,30,32,118,35,1,0,276,4,11,52,60,16,16,219,11,14,14,32,31,19,432,87,83,151,9,112,3,3,318,6,40,80,7,187,3,269,5,2,87,349,6,33,81,30,458
748,198,1060,16,139,688,2535,1275,156,286,0,128,397,567,571,729,588,2896,433,295,247,264,1319,357,204,685,253,2215,275,901,97,296,1615,218,558,88,218,3162,751,1677,417,58,182,5544,331,39,2235,364,1058
18,19,18,1,11,21,94,29,3,5,125,0,1,7,14,6,15,141,9,10,4,8,32,2,213,23,40,91,6,58,2,6,116,2,18,43,5,129,20,88,4,1,45,216,6,18,50,5,208
