FIPS,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
0,Recovered,US,2020-06-16 23:59,0.0,0.0,0,0,-1,-1,"Recovered, US"
0,Grand Princess,US,2020-06-16 23:59,0.0,0.0,0,0,-1,-1,"Grand Princess, US"
0,Diamond Princess,US,2020-06-16 23:59,0.0,0.0,0,0,-1,-1,"Diamond Princess, US"
1,Alabama,US,2020-06-16 23:59,32.88428035358209,-86.71012237686571,26912,785,-1,-1,"Alabama, US"
2,Alaska,US,2020-06-16 23:59,60.83903922266667,-146.35478425333338,751,10,-1,-1,"Alaska, US"
4,Arizona,US,2020-06-16 23:59,33.675903642,-111.46323212666668,39298,1228,-1,-1,"Arizona, US"
5,Arkansas,US,2020-06-16 23:59,34.9302123831081,-92.43308954189187,13191,188,-1,-1,"Arkansas, US"
6,California,US,2020-06-16 23:59,37.77824770964912,-120.72866631228071,159131,5202,-1,-1,"California, US"
8,Colorado,US,2020-06-16 23:59,38.90239628983332,-105.51943618666662,29427,1617,-1,-1,"Colorado, US"
9,Connecticut,US,2020-06-16 23:59,41.61368014,-72.65682967875,45349,4210,-1,-1,"Connecticut, US"
10,Delaware,US,2020-06-16 23:59,39.109276823333346,-75.53323745666665,10403,424,-1,-1,"Delaware, US"
11,District of Columbia,US,2020-06-16 23:59,38.90417773,-77.01655992,9818,520,-1,-1,"District of Columbia, US"
12,Florida,US,2020-06-16 23:59,28.94075487910448,-82.70074390925375,80101,2992,-1,-1,"Florida, US"
13,Georgia,US,2020-06-16 23:59,32.80853214484278,-83.57742992610065,56302,2492,-1,-1,"Georgia, US"
15,Hawaii,US,2020-06-16 23:59,20.99064747,-157.41445579999996,728,17,-1,-1,"Hawaii, US"
16,Idaho,US,2020-06-16 23:59,44.30281309305556,-114.65977396944444,3543,89,-1,-1,"Idaho, US"
17,Illinois,US,2020-06-16 23:59,39.8456048379208,-89.16546062168318,134866,6608,-1,-1,"Illinois, US"
18,Indiana,US,2020-06-16 23:59,39.83735316565217,-86.21856844913039,41780,2447,-1,-1,"Indiana, US"
19,Iowa,US,2020-06-16 23:59,42.029910023535365,-93.46551942343436,24263,670,-1,-1,"Iowa, US"
20,Kansas,US,2020-06-16 23:59,38.416378298681295,-97.80399089714287,11569,246,-1,-1,"Kansas, US"
21,Kentucky,US,2020-06-16 23:59,37.614095330940174,-85.23300525897436,12899,530,-1,-1,"Kentucky, US"
22,Louisiana,US,2020-06-16 23:59,31.092427383437492,-91.82418665609377,47818,3042,-1,-1,"Louisiana, US"
23,Maine,US,2020-06-16 23:59,44.68768840625,-69.523768628125,2819,101,-1,-1,"Maine, US"
24,Maryland,US,2020-06-16 23:59,39.014920690416666,-76.67546760874998,63004,2982,-1,-1,"Maryland, US"
25,Massachusetts,US,2020-06-16 23:59,42.17639998153847,-71.57704993461539,105885,7664,-1,-1,"Massachusetts, US"
26,Michigan,US,2020-06-16 23:59,43.94207275199999,-85.08165528850004,66466,6039,-1,-1,"Michigan, US"
27,Minnesota,US,2020-06-16 23:59,45.48525928821428,-94.45312185845236,30913,1344,-1,-1,"Minnesota, US"
