FIPS,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
0,Recovered,US,2020-07-22 23:59,0.0,0.0,0,0,-1,-1,"Recovered, US"
0,Grand Princess,US,2020-07-22 23:59,0.0,0.0,0,0,-1,-1,"Grand Princess, US"
0,Diamond Princess,US,2020-07-22 23:59,0.0,0.0,0,0,-1,-1,"Diamond Princess, US"
1,Alabama,US,2020-07-22 23:59,32.88428035358209,-86.71012237686571,71813,1364,-1,-1,"Alabama, US"
2,Alaska,US,2020-07-22 23:59,60.83903922266667,-146.35478425333338,2617,17,-1,-1,"Alaska, US"
4,Arizona,US,2020-07-22 23:59,33.675903642,-111.46323212666668,150659,2976,-1,-1,"Arizona, US"
5,Arkansas,US,2020-07-22 23:59,34.9302123831081,-92.43308954189187,35246,380,-1,-1,"Arkansas, US"
6,California,US,2020-07-22 23:59,37.77824770964912,-120.72866631228071,422528,8038,-1,-1,"California, US"
8,Colorado,US,2020-07-22 23:59,38.90239628983332,-105.51943618666662,41747,1772,-1,-1,"Colorado, US"
9,Connecticut,US,2020-07-22 23:59,41.61368014,-72.65682967875,48223,4406,-1,-1,"Connecticut, US"
10,Delaware,US,2020-07-22 23:59,39.109276823333346,-75.53323745666665,13792,527,-1,-1,"Delaware, US"
11,District of Columbia,US,2020-07-22 23:59,38.90417773,-77.01655992,11529,580,-1,-1,"District of Columbia, US"
12,Florida,US,2020-07-22 23:59,28.94075487910448,-82.70074390925375,379611,5344,-1,-1,"Florida, US"
13,Georgia,US,2020-07-22 23:59,32.80853214484278,-83.57742992610065,139120,3264,-1,-1,"Georgia, US"
15,Hawaii,US,2020-07-22 23:59,20.99064747,-157.41445579999996,1413,24,-1,-1,"Hawaii, US"
16,Idaho,US,2020-07-22 23:59,44.30281309305556,-114.65977396944444,16395,136,-1,-1,"Idaho, US"
17,Illinois,US,2020-07-22 23:59,39.8456048379208,-89.16546062168318,167142,7544,-1,-1,"Illinois, US"
18,Indiana,US,2020-07-22 23:59,39.83735316565217,-86.21856844913039,60126,2863,-1,-1,"Indiana, US"
19,Iowa,US,2020-07-22 23:59,42.029910023535365,-93.46551942343436,40208,814,-1,-1,"Iowa, US"
20,Kansas,US,2020-07-22 23:59,38.416378298681295,-97.80399089714287,24376,324,-1,-1,"Kansas, US"
21,Kentucky,US,2020-07-22 23:59,37.614095330940174,-85.23300525897436,25169,700,-1,-1,"Kentucky, US"
22,Louisiana,US,2020-07-22 23:59,31.092427383437492,-91.82418665609377,99466,3670,-1,-1,"Louisiana, US"
23,Maine,US,2020-07-22 23:59,44.68768840625,-69.523768628125,3723,118,-1,-1,"Maine, US"
24,Maryland,US,2020-07-22 23:59,39.014920690416666,-76.67546760874998,80738,3405,-1,-1,"Maryland, US"
25,Massachusetts,US,2020-07-22 23:59,42.17639998153847,-71.57704993461539,114320,8468,-1,-1,"Massachusetts, US"
26,Michigan,US,2020-07-22 23:59,43.94207275199999,-85.08165528850004,83891,6391,-1,-1,"Michigan, US"
27,Minnesota,US,2020-07-22 23:59,45.48525928821428,-94.45312185845236,48001,1592,-1,-1,"Minnesota, US"
28,Mississippi,US,2020-07-22 23:59,32.79355882555555,-89.62932823901234,47071,1423,-1,-1,"Mississippi, US"
29,Missouri,US,2020-07-22 23:59,38.446493332352944,-92.48317277264708,38454,1196,-1,-1,"Missouri, US"
30,Montana,US,2020-07-22 23:59,46.84780442032259,-110.98389643548387,2840,42,-1,-1,"Montana, US"
31,Nebraska,US,2020-07-22 23:59,41.261762741558414,-98.71462003961037,23486,314,-1,-1,"Nebraska, US"
32,Nevada,US,2020-07-22 23:59,39.34797361562499,-117.55974313749998,38759,705,-1,-1,"Nevada, US"
33,New Hampshire,US,2020-07-22 23:59,43.478972876,-71.57765670500002,6295,402,-1,-1,"New Hampshire, US"
34,New Jersey,US,2020-07-22 23:59,40.28644091095239,-74.6224497147619,179565,15707,-1,-1,"New Jersey, US"
35,New Mexico,US,2020-07-22 23:59,34.5036842278125,-105.91639915312498,17828,591,-1,-1,"New Mexico, US"
36,New York,US,2020-07-22 23:59,42.67159317862068,-75.57969394672416,413595,32228,-1,-1,"New York, US"
37,North Carolina,US,2020-07-22 23:59,35.624209710000024,-79.50109873960002,105236,1729,-1,-1,"North Carolina, US"
38,North Dakota,US,2020-07-22 23:59,47.48388656952381,-100.15846421261908,5371,100,-1,-1,"North Dakota, US"
39,Ohio,US,2020-07-22 23:59,40.31066981295457,-82.83540800659091,78742,3235,-1,-1,"Ohio, US"
40,Oklahoma,US,2020-07-22 23:59,35.506152534520545,-97.16179768972601,27301,474,-1,-1,"Oklahoma, US"
41,Oregon,US,2020-07-22 23:59,44.45964240911764,-121.55694340882351,15436,274,-1,-1,"Oregon, US"
42,Pennsylvania,US,2020-07-22 23:59,40.81807835477611,-77.61531783850747,108267,7125,-1,-1,"Pennsylvania, US"
44,Rhode Island,US,2020-07-22 23:59,41.655142106,-71.464105098,18062,997,-1,-1,"Rhode Island, US"
45,South Carolina,US,2020-07-22 23:59,33.957472131086966,-80.9833996921739,75042,1285,-1,-1,"South Carolina, US"
