FIPS,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
0,Recovered,US,2020-03-26 23:59,0.0,0.0,0,0,-1,-1,"Recovered, US"
0,Grand Princess,US,2020-03-26 23:59,0.0,0.0,0,0,-1,-1,"Grand Princess, US"
0,Diamond Princess,US,2020-03-26 23:59,0.0,0.0,0,0,-1,-1,"Diamond Princess, US"
1,Alabama,US,2020-03-26 23:59,32.88428035358209,-86.71012237686571,538,3,-1,-1,"Alabama, US"
2,Alaska,US,2020-03-26 23:59,60.83903922266667,-146.35478425333338,69,0,-1,-1,"Alaska, US"
4,Arizona,US,2020-03-26 23:59,33.675903642,-111.46323212666668,508,8,-1,-1,"Arizona, US"
5,Arkansas,US,2020-03-26 23:59,34.9302123831081,-92.43308954189187,350,3,-1,-1,"Arkansas, US"
6,California,US,2020-03-26 23:59,37.77824770964912,-120.72866631228071,4060,83,-1,-1,"California, US"
8,Colorado,US,2020-03-26 23:59,38.90239628983332,-105.51943618666662,1432,24,-1,-1,"Colorado, US"
9,Connecticut,US,2020-03-26 23:59,41.61368014,-72.65682967875,1012,21,-1,-1,"Connecticut, US"
10,Delaware,US,2020-03-26 23:59,39.109276823333346,-75.53323745666665,143,1,-1,-1,"Delaware, US"
11,District of Columbia,US,2020-03-26 23:59,38.90417773,-77.01655992,231,3,-1,-1,"District of Columbia, US"
12,Florida,US,2020-03-26 23:59,28.94075487910448,-82.70074390925375,2478,29,-1,-1,"Florida, US"
13,Georgia,US,2020-03-26 23:59,32.80853214484278,-83.57742992610065,1641,56,-1,-1,"Georgia, US"
15,Hawaii,US,2020-03-26 23:59,20.99064747,-157.41445579999996,106,0,-1,-1,"Hawaii, US"
16,Idaho,US,2020-03-26 23:59,44.30281309305556,-114.65977396944444,189,3,-1,-1,"Idaho, US"
17,Illinois,US,2020-03-26 23:59,39.8456048379208,-89.16546062168318,2538,26,-1,-1,"Illinois, US"
18,Indiana,US,2020-03-26 23:59,39.83735316565217,-86.21856844913039,661,23,-1,-1,"Indiana, US"
19,Iowa,US,2020-03-26 23:59,42.029910023535365,-93.46551942343436,179,1,-1,-1,"Iowa, US"
20,Kansas,US,2020-03-26 23:59,38.416378298681295,-97.80399089714287,173,3,-1,-1,"Kansas, US"
21,Kentucky,US,2020-03-26 23:59,37.614095330940174,-85.23300525897436,248,5,-1,-1,"Kentucky, US"
22,Louisiana,US,2020-03-26 23:59,31.092427383437492,-91.82418665609377,2305,83,-1,-1,"Louisiana, US"
23,Maine,US,2020-03-26 23:59,44.68768840625,-69.523768628125,155,0,-1,-1,"Maine, US"
24,Maryland,US,2020-03-26 23:59,39.014920690416666,-76.67546760874998,581,4,-1,-1,"Maryland, US"
25,Massachusetts,US,2020-03-26 23:59,42.17639998153847,-71.57704993461539,2417,25,-1,-1,"Massachusetts, US"
26,Michigan,US,2020-03-26 23:59,43.94207275199999,-85.08165528850004,2877,63,-1,-1,"Michigan, US"
27,Minnesota,US,2020-03-26 23:59,45.48525928821428,-94.45312185845236,346,2,-1,-1,"Minnesota, US"
28,Mississippi,US,2020-03-26 23:59,32.79355882555555,-89.62932823901234,486,6,-1,-1,"Mississippi, US"
29,Missouri,US,2020-03-26 23:59,38.446493332352944,-92.48317277264708,508,8,-1,-1,"Missouri, US"
30,Montana,US,2020-03-26 23:59,46.84780442032259,-110.98389643548387,90,0,-1,-1,"Montana, US"
31,Nebraska,US,2020-03-26 23:59,41.261762741558414,-98.71462003961037,91,0,-1,-1,"Nebraska, US"
32,Nevada,US,2020-03-26 23:59,39.34797361562499,-117.55974313749998,535,10,-1,-1,"Nevada, US"
33,New Hampshire,US,2020-03-26 23:59,43.478972876,-71.57765670500002,158,1,-1,-1,"New Hampshire, US"
34,New Jersey,US,2020-03-26 23:59,40.28644091095239,-74.6224497147619,6876,82,-1,-1,"New Jersey, US"
35,New Mexico,US,2020-03-26 23:59,34.5036842278125,-105.91639915312498,136,1,-1,-1,"New Mexico, US"
