FIPS,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
0,Recovered,US,2020-04-27 23:59,0.0,0.0,0,0,-1,-1,"Recovered, US"
0,Grand Princess,US,2020-04-27 23:59,0.0,0.0,0,0,-1,-1,"Grand Princess, US"
0,Diamond Princess,US,2020-04-27 23:59,0.0,0.0,0,0,-1,-1,"Diamond Princess, US"
1,Alabama,US,2020-04-27 23:59,32.88428035358209,-86.71012237686571,6539,228,-1,-1,"Alabama, US"
2,Alaska,US,2020-04-27 23:59,60.83903922266667,-146.35478425333338,343,7,-1,-1,"Alaska, US"
4,Arizona,US,2020-04-27 23:59,33.675903642,-111.46323212666668,6716,277,-1,-1,"Arizona, US"
5,Arkansas,US,2020-04-27 23:59,34.9302123831081,-92.43308954189187,3069,51,-1,-1,"Arkansas, US"
6,California,US,2020-04-27 23:59,37.77824770964912,-120.72866631228071,45208,1800,-1,-1,"California, US"
8,Colorado,US,2020-04-27 23:59,38.90239628983332,-105.51943618666662,13804,705,-1,-1,"Colorado, US"
9,Connecticut,US,2020-04-27 23:59,41.61368014,-72.65682967875,25997,2012,-1,-1,"Connecticut, US"
10,Delaware,US,2020-04-27 23:59,39.109276823333346,-75.53323745666665,4162,125,-1,-1,"Delaware, US"
11,District of Columbia,US,2020-04-27 23:59,38.90417773,-77.01655992,3892,185,-1,-1,"District of Columbia, US"
12,Florida,US,2020-04-27 23:59,28.94075487910448,-82.70074390925375,32130,1087,-1,-1,"Florida, US"
13,Georgia,US,2020-04-27 23:59,32.80853214484278,-83.57742992610065,23229,981,-1,-1,"Georgia, US"
15,Hawaii,US,2020-04-27 23:59,20.99064747,-157.41445579999996,600,16,-1,-1,"Hawaii, US"
16,Idaho,US,2020-04-27 23:59,44.30281309305556,-114.65977396944444,1917,58,-1,-1,"Idaho, US"
17,Illinois,US,2020-04-27 23:59,39.8456048379208,-89.16546062168318,45883,1992,-1,-1,"Illinois, US"
18,Indiana,US,2020-04-27 23:59,39.83735316565217,-86.21856844913039,16137,932,-1,-1,"Indiana, US"
19,Iowa,US,2020-04-27 23:59,42.029910023535365,-93.46551942343436,5868,127,-1,-1,"Iowa, US"
20,Kansas,US,2020-04-27 23:59,38.416378298681295,-97.80399089714287,3407,126,-1,-1,"Kansas, US"
21,Kentucky,US,2020-04-27 23:59,37.614095330940174,-85.23300525897436,4146,216,-1,-1,"Kentucky, US"
22,Louisiana,US,2020-04-27 23:59,31.092427383437492,-91.82418665609377,27111,1740,-1,-1,"Louisiana, US"
23,Maine,US,2020-04-27 23:59,44.68768840625,-69.523768628125,1023,51,-1,-1,"Maine, US"
24,Maryland,US,2020-04-27 23:59,39.014920690416666,-76.67546760874998,19574,945,-1,-1,"Maryland, US"
