FIPS,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
0,Recovered,US,2020-08-09 23:59,0.0,0.0,0,0,-1,-1,"Recovered, US"
0,Grand Princess,US,2020-08-09 23:59,0.0,0.0,0,0,-1,-1,"Grand Princess, US"
0,Diamond Princess,US,2020-08-09 23:59,0.0,0.0,0,0,-1,-1,"Diamond Princess, US"
1,Alabama,US,2020-08-09 23:59,32.88428035358209,-86.71012237686571,101334,1768,-1,-1,"Alabama, US"
2,Alaska,US,2020-08-09 23:59,60.83903922266667,-146.35478425333338,4471,24,-1,-1,"Alaska, US"
4,Arizona,US,2020-08-09 23:59,33.675903642,-111.46323212666668,187086,4152,-1,-1,"Arizona, US"
5,Arkansas,US,2020-08-09 23:59,34.9302123831081,-92.43308954189187,49383,544,-1,-1,"Arkansas, US"
6,California,US,2020-08-09 23:59,37.77824770964912,-120.72866631228071,563244,10365,-1,-1,"California, US"
8,Colorado,US,2020-08-09 23:59,38.90239628983332,-105.51943618666662,50799,1863,-1,-1,"Colorado, US"
9,Connecticut,US,2020-08-09 23:59,41.61368014,-72.65682967875,50320,4441,-1,-1,"Connecticut, US"
10,Delaware,US,2020-08-09 23:59,39.109276823333346,-75.53323745666665,15575,591,-1,-1,"Delaware, US"
11,District of Columbia,US,2020-08-09 23:59,38.90417773,-77.01655992,12753,591,-1,-1,"District of Columbia, US"
12,Florida,US,2020-08-09 23:59,28.94075487910448,-82.70074390925375,532798,8185,-1,-1,"Florida, US"
13,Georgia,US,2020-08-09 23:59,32.80853214484278,-83.57742992610065,200147,4108,-1,-1,"Georgia, US"
15,Hawaii,US,2020-08-09 23:59,20.99064747,-157.41445579999996,3475,30,-1,-1,"Hawaii, US"
16,Idaho,US,2020-08-09 23:59,44.30281309305556,-114.65977396944444,24797,237,-1,-1,"Idaho, US"
17,Illinois,US,2020-08-09 23:59,39.8456048379208,-89.16546062168318,195897,7852,-1,-1,"Illinois, US"
18,Indiana,US,2020-08-09 23:59,39.83735316565217,-86.21856844913039,76071,3041,-1,-1,"Indiana, US"
19,Iowa,US,2020-08-09 23:59,42.029910023535365,-93.46551942343436,48919,931,-1,-1,"Iowa, US"
20,Kansas,US,2020-08-09 23:59,38.416378298681295,-97.80399089714287,31145,380,-1,-1,"Kansas, US"
21,Kentucky,US,2020-08-09 23:59,37.614095330940174,-85.23300525897436,36316,790,-1,-1,"Kentucky, US"
22,Louisiana,US,2020-08-09 23:59,31.092427383437492,-91.82418665609377,131517,4263,-1,-1,"Louisiana, US"
23,Maine,US,2020-08-09 23:59,44.68768840625,-69.523768628125,4042,125,-1,-1,"Maine, US"
24,Maryland,US,2020-08-09 23:59,39.014920690416666,-76.67546760874998,96065,3585,-1,-1,"Maryland, US"
25,Massachusetts,US,2020-08-09 23:59,42.17639998153847,-71.57704993461539,121040,8735,-1,-1,"Massachusetts, US"
